,Estado,FechasFechaPublicacion,Nombre,CompradorNombreOrganismo,CompradorCodigoOrganismo,AdjudicacionUrlActa,CodigoExterno
2816,Desierta o art 3 o 9 Ley 19 886,2016-11-02T10:41:30.157,Material de Construccion Cerco CESCOF,I Municipalidad de Rio Negro,7367,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=dd27rYftV7y/Jfu9BIUC8B1DYm6OfdlRbTDPIqjmSY8=,2917-162-L116
200,Desierta o art 3 o 9 Ley 19 886,2016-11-02T13:43:23.34,REPARTO DE PAN MENSUALl Y FLETES EXTRAS,Gendarmeria de Chile,6925,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=E3hGFPe/yTObLkHHMG/24YE+LztURE0WjwwtQ5RqHeE=,1403-104-LE16
5158,Desierta o art 3 o 9 Ley 19 886,2016-11-02T14:55:00,REPUESTOS TREN 2 7242 MVV,METRO S A,7074,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=No2Eh3hXgfHc3Bd26WLhONXoG7QMRwr4g9UPNTjhg4I=,729-460-L116
5017,Desierta o art 3 o 9 Ley 19 886,2016-11-02T15:13:02.763,Diseno y Confeccion Corporeos Forestin,Corporacion Nacional Forestal CONAF,6924,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=pssSVq83Br+PFH82qs7DJwBL+jiUnEWD3FdVhSsC5YU=,633-34-LE16
2036,Desierta o art 3 o 9 Ley 19 886,2016-11-02T15:18:40.123,CONTRATO SUMNISTRO ORNAMENTACION,Municipalidad de Los Angeles,87187,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=TD13+O8l6MYqg6Qfk+fFMtgwgtMm+D6zef4LnOpN74s=,2408-1194-L116
2071,Desierta o art 3 o 9 Ley 19 886,2016-11-15T16:47:47.39,CONTRATO SUMNISTRO ORNAMENTACION,Municipalidad de Los Angeles,87187,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=qlv6n6adCjee6sre51Bm+s+C1XYWMNiulk+jnJqWnL4=,2408-1323-L116
1158,Desierta o art 3 o 9 Ley 19 886,2016-11-02T15:23:50.373,Examen Ocupacional a Personal del Aeropuerto Diego Aracena,Direccion General de Aeronautica Civil,7202,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=HJfcGaPNPX9fLUtNwNIuJVnzatvdmhHFwZl9efRvz+U=,1989-99-L116
1157,Desierta o art 3 o 9 Ley 19 886,2016-11-23T16:37:08.103,Examen Ocupacional a Personal del Aeropuerto Diego Aracena,Direccion General de Aeronautica Civil,7202,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Qn8nkbm19kyaC/lMqhdo9XBRJBMJ0G6q2k62Rth9e/I=,1989-104-CO16
1995,Desierta o art 3 o 9 Ley 19 886,2016-11-02T15:33:25.95,MOCHILAS PROYECTO INFANCIA,ILUSTRE MUNICIPALIDAD DE RANCAGUA,87167,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=t27FwHY6GxhIEjFmTlRD6yyYduI7UlEBWC6N4Q0ABXo=,2401-442-L116
2003,Adjudicada,2016-11-15T17:04:11.183,MOCHILAS PROYECTO INFANCIA,ILUSTRE MUNICIPALIDAD DE RANCAGUA,87167,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ckCgGyh5kukvjtTq6rUOy23XxwBsgCyz3x7T4cedS3k=,2401-467-L116
